Item,Quantity,Min_Level,Location,Last_Updated
Pipe_Wrench_18in,4,2,Toolroom_A,2026-05-12
Crescent_Wrench_12in,3,2,Toolroom_A,2026-05-10
Welding_Rod_E6013,12,20,Stores_B,2026-05-13
Welding_Rod_E7018,8,15,Stores_B,2026-05-13
Bolt_M12x60_Grade8,45,50,Bin_C,2026-05-09
Bolt_M16x80_Grade8,28,30,Bin_C,2026-05-11
Gasket_Spiral_Wound_4in,6,10,Stores_B,2026-05-08
Gasket_Spiral_Wound_6in,2,8,Stores_B,2026-05-08
Flange_300lb_4in,3,5,Stores_C,2026-05-10
Flange_300lb_6in,5,5,Stores_C,2026-05-10
Pressure_Gauge_0_3000psi,2,3,Instrument_Stores,2026-05-12
Pressure_Gauge_0_5000psi,4,3,Instrument_Stores,2026-05-12
Gas_Detector_LEL,2,2,HSE_Store,2026-05-09
H2S_Monitor_Personal,3,5,HSE_Store,2026-05-09
SCBA_Cylinder_60min,8,6,HSE_Store,2026-05-11
Foam_Concentrate_AFFF,210,300,Fire_Bay,2026-05-13
PPE_Helmet_White,18,25,PPE_Stores,2026-05-12
PPE_Boots_Steel_Toe_10,12,15,PPE_Stores,2026-05-12
Lubricant_Bearing_Grease_4kg,9,12,Stores_A,2026-05-11
Diesel_Fuel_Litre,4800,5000,Tank_Farm,2026-05-13
